R00005	R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R00405	R00405	Succinate:CoA ligase (ADP-forming); ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA
R00406	R00406	succinyl-CoA:(S)-malate CoA-transferase; Succinyl-CoA + (S)-Malate <=> Succinate + L-Malyl-CoA
R00409	R00409	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming); (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate
R00410	R00410	succinyl-CoA:acetoacetate CoA-transferase; Succinyl-CoA + Acetoacetate <=> Succinate + Acetoacetyl-CoA
R00411	R00411	N-succinyl-L-glutamate amidohydrolase; N-Succinyl-L-glutamate + H2O <=> L-Glutamate + Succinate
R00414	R00414	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine + H2O <=> N-Acetyl-D-mannosamine + UDP
R00416	R00416	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase; UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-alpha-D-glucosamine
R00418	R00418	UDP-N-acetyl-D-glucosamine 4-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-galactosamine
R00420	R00420	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-mannosamine
R00421	R00421	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase; UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate + 2 NADH + 2 H+
R00425	R00425	GTP 7,8-8,9-dihydrolase (diphosphate-forming); GTP + 3 H2O <=> Formate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + Diphosphate
R00426	R00426	GTP diphosphohydrolase (diphosphate-forming); Guanosine 5'-triphosphate pyrophosphohydrolase; GTP + H2O <=> GMP + Diphosphate
R00428	R00428	GTP 8,9-hydrolase; GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate
R00429	R00429	ATP:GTP 3'-diphosphotransferase; ATP + GTP <=> AMP + Guanosine 3'-diphosphate 5'-triphosphate
R00430	R00430	GTP:pyruvate 2-O-phosphotransferase; GTP + Pyruvate <=> GDP + Phosphoenolpyruvate
R00431	R00431	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating); GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2
R00432	R00432	Succinate:CoA ligase (GDP-forming); GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA
R00434	R00434	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming); GTP <=> 3',5'-Cyclic GMP + Diphosphate
R00435	R00435	ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA
R00437	R00437	polyribonucleotide:phosphate adenylyltransferase; RNA + Orthophosphate <=> RNA + ADP
R00438	R00438	polyribonucleotide:phosphate uridylyltransferase; RNA + Orthophosphate <=> RNA + UDP
R00439	R00439	polyribonucleotide:phosphate guanylyltransferase; RNA + Orthophosphate <=> RNA + GDP
R00440	R00440	polyribonucleotide:phosphate cytidylyltransferase; RNA + Orthophosphate <=> RNA + CDP
R00441	R00441	GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA
R00442	R00442	CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA
R00443	R00443	UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA
R00446	R00446	L-lysine:NAD+ 6-oxidoreductase (deaminating); L-Lysine + NAD+ + H2O <=> L-2-Aminoadipate 6-semialdehyde + NADH + Ammonia + H+
R00448	R00448	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating); L-Lysine + Oxygen + NADPH + H+ <=> N6-Hydroxy-L-lysine + NADP+ + H2O
R00451	R00451	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming); meso-2,6-Diaminoheptanedioate <=> L-Lysine + CO2
R00457	R00457	L-Lysine:2-oxoglutarate 6-aminotransferase; L-Lysine + 2-Oxoglutarate <=> L-2-Aminoadipate 6-semialdehyde + L-Glutamate
R00461	R00461	L-Lysine 2,3-aminomutase; L-Lysine <=> (3S)-3,6-Diaminohexanoate
R00462	R00462	L-lysine carboxy-lyase (cadaverine-forming); L-Lysine <=> Cadaverine + CO2
R00465	R00465	glycolate:NADP+ oxidoreductase; Glycolate + NADP+ <=> Glyoxylate + NADPH + H+
R00469	R00469	(S)-ureidoglycolate amidohydrolase (decarboxylating); (S)-Ureidoglycolate + H2O <=> Glyoxylate + 2 Ammonia + CO2
R00470	R00470	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming); 4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate
R00471	R00471	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming); (4R)-4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate
R00472	R00472	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); L-Malate glyoxylate-lyase (CoA-acetylating); (S)-Malate + CoA <=> Acetyl-CoA + H2O + Glyoxylate
R00473	R00473	L-malyl-CoA glyoxylate-lyase (acetyl-CoA-forming); L-Malyl-CoA <=> Acetyl-CoA + Glyoxylate
R00475	R00475	glycolate:oxygen 2-oxidoreductase; Glycolate + Oxygen <=> Glyoxylate + Hydrogen peroxide
R00479	R00479	isocitrate glyoxylate-lyase (succinate-forming); Isocitrate <=> Succinate + Glyoxylate
R00480	R00480	ATP:L-aspartate 4-phosphotransferase; ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate
R00481	R00481	L-aspartate:oxygen oxidoreductase; L-Aspartate + Oxygen <=> Iminoaspartate + Hydrogen peroxide
R00483	R00483	L-aspartate:ammonia ligase (AMP-forming); ATP + L-Aspartate + Ammonia <=> AMP + Diphosphate + L-Asparagine
R00485	R00485	L-asparagine amidohydrolase; L-Asparagine + H2O <=> L-Aspartate + Ammonia
R00486	R00486	3-Cyano-L-alanine aminohydrolase; 3-Cyano-L-alanine + 2 H2O <=> L-Aspartate + Ammonia
R00487	R00487	acetyl-CoA:L-aspartate N-acetyltransferase; Acetyl-CoA + L-Aspartate <=> CoA + N-Acetyl-L-aspartate
R00488	R00488	N-Acetyl-L-aspartate amidohydrolase; N-Acetyl-L-aspartate + H2O <=> Acetate + L-Aspartate
R00489	R00489	L-aspartate 1-carboxy-lyase (beta-alanine-forming); L-Aspartate <=> beta-Alanine + CO2
R00490	R00490	L-aspartate ammonia-lyase (fumarate-forming); L-Aspartate <=> Fumarate + Ammonia
R00491	R00491	aspartate racemase; L-Aspartate <=> D-Aspartate
R00494	R00494	glutathione gamma-glutamylaminopeptidase; Glutathione + H2O <=> Cys-Gly + L-Glutamate
R00497	R00497	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming); ATP + gamma-L-Glutamyl-L-cysteine + Glycine <=> ADP + Orthophosphate + Glutathione
R00502	R00502	UTP:alpha-D-galactose-1-phosphate uridylyltransferase; UTP + alpha-D-Galactose 1-phosphate <=> Diphosphate + UDP-alpha-D-galactose
R00503	R00503	UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase; UDP-alpha-D-galactose + D-Glucose <=> UDP + Lactose
R00505	R00505	UDP-alpha-D-galactopyranose furanomutase; UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose
R00508	R00508	3'-phospho-5'-adenylyl sulfate 3'-phosphohydrolase; 3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate
R00509	R00509	ATP:adenylylsulfate 3'-phosphotransferase; ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate
R00510	R00510	cytidine-5'-monophosphate phosphoribohydrolase; CMP + H2O <=> Cytosine + D-Ribose 5-phosphate
R00511	R00511	cytidine-5'-monophosphate phosphohydrolase; CMP + H2O <=> Cytidine + Orthophosphate
R00512	R00512	ATP:CMP phosphotransferase; ATP + CMP <=> ADP + CDP
R00513	R00513	ATP:cytidine 5'-phosphotransferase; ATP + Cytidine <=> ADP + CMP
R00514	R00514	CDP phosphohydrolase; CDP + H2O <=> CMP + Orthophosphate
R00515	R00515	CTP diphosphohydrolase (diphosphate-forming); CTP pyrophosphohydrolase; CTP + H2O <=> CMP + Diphosphate
R00516	R00516	UTP:cytidine 5'-phosphotransferase; UTP + Cytidine <=> UDP + CMP
R00517	R00517	GTP:cytidine 5'-phosphotransferase; GTP + Cytidine <=> GDP + CMP
R00519	R00519	formate:NAD+ oxidoreductase; Formate + NAD+ <=> H+ + CO2 + NADH
R00522	R00522	Oxalate carboxy-lyase; Oxalate <=> Formate + CO2
R00524	R00524	Formamide amidohydrolase; Formamide + H2O <=> Formate + Ammonia
R00525	R00525	N-Formyl-L-glutamate amidohydrolase; N-Formyl-L-glutamate + H2O <=> Formate + L-Glutamate
R00526	R00526	N-Formyl-L-aspartate amidohydrolase; N-Formyl-L-aspartate + H2O <=> Formate + L-Aspartate
R00527	R00527	S-Formylglutathione hydrolase; S-Formylglutathione + H2O <=> Formate + Glutathione
R00528	R00528	sulfite:ferricytochrome-c oxidoreductase; Sulfite + H2O + 2 Ferricytochrome c <=> Sulfate + 2 Ferrocytochrome c + 2 H+
R00529	R00529	ATP:sulfate adenylyltransferase; ATP + Sulfate <=> Diphosphate + Adenylyl sulfate
R00533	R00533	Sulfite:oxygen oxidoreductase; Sulfite + Oxygen + H2O <=> Sulfate + Hydrogen peroxide
R00540	R00540	Nitrile aminohydrolase; Nitrile + 2 H2O <=> Carboxylate + Ammonia
R00548	R00548	riboflavin-5-phosphate phosphohydrolase; FMN + H2O <=> Riboflavin + Orthophosphate
R00549	R00549	ATP:riboflavin 5'-phosphotransferase; ATP + Riboflavin <=> ADP + FMN
R00551	R00551	L-Arginine amidinohydrolase; L-Arginine + H2O <=> L-Ornithine + Urea
R00552	R00552	L-Arginine iminohydrolase; L-Arginine + H2O <=> L-Citrulline + Ammonia
R00554	R00554	ATP:L-arginine Nomega-phosphotransferase; ATP + L-Arginine <=> ADP + L-Arginine phosphate
R00557	R00557	L-arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); 2 L-Arginine + 4 Oxygen + 3 NADPH + 3 H+ <=> 2 Nitric oxide + 2 L-Citrulline + 3 NADP+ + 4 H2O
R00558	R00558	L-arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming); L-Arginine + Oxygen + NADPH + H+ <=> N(omega)-Hydroxyarginine + NADP+ + H2O
R00565	R00565	L-Arginine:glycine amidinotransferase; L-Arginine + Glycine <=> L-Ornithine + Guanidinoacetate
R00566	R00566	L-arginine carboxy-lyase (agmatine-forming); L-Arginine <=> Agmatine + CO2
R00568	R00568	CTP aminohydrolase; CTP + H2O <=> UTP + Ammonia
R00569	R00569	CTP phosphohydrolase; CTP + H2O <=> CDP + Orthophosphate
R00570	R00570	ATP:CDP phosphotransferase; ATP + CDP <=> ADP + CTP
R00571	R00571	UTP:ammonia ligase (ADP-forming); ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP
R00573	R00573	UTP:L-glutamine amido-ligase (ADP-forming); ATP + UTP + L-Glutamine + H2O <=> ADP + Orthophosphate + CTP + L-Glutamate
R00575	R00575	HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating); 2 ATP + L-Glutamine + HCO3- + H2O <=> 2 ADP + Orthophosphate + L-Glutamate + Carbamoyl phosphate
R00578	R00578	L-aspartate:L-glutamine amido-ligase (AMP-forming); ATP + L-Aspartate + L-Glutamine + H2O <=> AMP + Diphosphate + L-Asparagine + L-Glutamate
R00582	R00582	O-phospho-L-serine phosphohydrolase; O-Phospho-L-serine + H2O <=> L-Serine + Orthophosphate
R00585	R00585	L-Serine:pyruvate aminotransferase; L-Serine + Pyruvate <=> Hydroxypyruvate + L-Alanine
R00586	R00586	acetyl-CoA:L-serine O-acetyltransferase; L-Serine + Acetyl-CoA <=> O-Acetyl-L-serine + CoA
R00588	R00588	L-Serine:glyoxylate aminotransferase; L-Serine + Glyoxylate <=> Hydroxypyruvate + Glycine
R00589	R00589	serine racemase; L-2-Amino-3-hydroxypropionic acid racemase; L-Serine <=> D-Serine
R00590	R00590	L-serine hydro-lyase; L-Serine <=> Dehydroalanine + H2O
R00597	R00597	S-adenosyl-L-methionine:tRNA guanine N1-methyltransferase; S-adenosyl-L-methionine:tRNA (guanine-N1-)-methyltransferase; S-Adenosyl-L-methionine + tRNA guanine <=> S-Adenosyl-L-homocysteine + tRNA containing N1-methylguanine
R00601	R00601	S-adenosyl-L-methionine:tRNA 5-methylaminomethyl-2-thiouridine methyltransferase; S-adenosyl-L-methionine:tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase; S-Adenosyl-L-methionine + tRNA containing 5-aminomethyl-2-thiouridine <=> S-Adenosyl-L-homocysteine + tRNA containing 5-methylaminomethyl-2-thiouridylate
R00602	R00602	methanol:hydrogen-peroxide oxidoreductase; Methanol + Hydrogen peroxide <=> Formaldehyde + 2 H2O
R00603	R00603	dichloromethane chloride-lyase (adding H2O; chloride-hydrolysing; formaldehyde-forming); Dichloromethane + H2O <=> Formaldehyde + 2 Hydrochloric acid
R00604	R00604	Formaldehyde:NAD+ oxidoreductase; Formaldehyde + NAD+ + H2O <=> Formate + NADH + H+
R00606	R00606	methylamine:amicyanin oxidoreductase (deaminating); Methylamine + H2O + 2 Amicyanin <=> Formaldehyde + Ammonia + 2 Reduced amicyanin + 2 H+
R00608	R00608	Methanol:oxygen oxidereductase; Methanol + Oxygen <=> Formaldehyde + Hydrogen peroxide
R00609	R00609	N-methyl-L-glutamate:acceptor oxidoreductase (demethylating); N-Methyl-L-glutamate + Acceptor + H2O <=> L-Glutamate + Formaldehyde + Reduced acceptor
R00610	R00610	sarcosine:oxygen oxidoreductase (demethylating); Sarcosine + H2O + Oxygen <=> Glycine + Formaldehyde + Hydrogen peroxide
R00611	R00611	sarcosine:electron-transfer flavoprotein oxidoreductase (demethylating); Sarcosine + Electron-transferring flavoprotein + H2O <=> Glycine + Formaldehyde + Reduced electron-transferring flavoprotein
R00614	R00614	formaldehyde:formaldehyde oxidoreductase; 2 Formaldehyde + H2O <=> Formate + Methanol
R00615	R00615	Thiamin diphosphate phosphohydrolase; Thiamin diphosphate + H2O <=> Thiamin monophosphate + Orthophosphate
R00617	R00617	ATP:thiamin-phosphate phosphotransferase; ATP + Thiamin monophosphate <=> ADP + Thiamin diphosphate
R00618	R00618	Thiamin-triphosphate phosphohydrolase; Thiamin triphosphate + H2O <=> Thiamin diphosphate + Orthophosphate
R00619	R00619	ATP:thiamine diphosphotransferase; ATP + Thiamine <=> AMP + Thiamin diphosphate
R00621	R00621	2-Oxoglutarate + Thiamin diphosphate <=> 3-Carboxy-1-hydroxypropyl-ThPP + CO2
R00623	R00623	primary_alcohol:NAD+ oxidoreductase; Primary alcohol + NAD+ <=> Aldehyde + NADH + H+
R00629	R00629	3'-phosphoadenylyl-sulfate:alcohol sulfotransferase; Alcohol + 3'-Phosphoadenylyl sulfate <=> Alkyl sulfate + Adenosine 3',5'-bisphosphate
R00631	R00631	aldehyde:NAD+ oxidoreductase; Aldehyde + NAD+ + H2O <=> Fatty acid + NADH + H+
R00640	R00640	L-Galactono-1,4-lactone:ferricytochrome-c oxidoreductase; L-Galactono-1,4-lactone + 2 Ferricytochrome c <=> Ascorbate + 2 Ferrocytochrome c + 2 H+
R00644	R00644	L-ascorbate:hydrogen-peroxide oxidoreductase; Ascorbate + Hydrogen peroxide <=> Dehydroascorbate + 2 H2O
R00647	R00647	Ascorbate <=> L-xylo-Hexulonolactone
R00648	R00648	L-Methionine:oxygen oxidoreductase (deaminating); L-Methionine + H2O + Oxygen <=> 4-Methylthio-2-oxobutanoic acid + Ammonia + Hydrogen peroxide
R00650	R00650	S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase; S-Adenosyl-L-methionine + L-Homocysteine <=> S-Adenosyl-L-homocysteine + L-Methionine
R00653	R00653	N-formyl-L-methionine amidohydrolase; N-Formylmethionine + H2O <=> Formate + L-Methionine
R00654	R00654	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming); L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate
R00658	R00658	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming); 2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O
R00660	R00660	Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase; Phosphoenolpyruvate + UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + Orthophosphate
R00661	R00661	phosphoenolpyruvate 2,3-phosphonomutase; Phosphoenolpyruvate <=> 3-Phosphonopyruvate
R00662	R00662	Uridine triphosphate pyrophosphohydrolase; UTP + H2O <=> UMP + Diphosphate
R00667	R00667	L-Ornithine:2-oxo-acid aminotransferase; L-Ornithine + 2-Oxoglutarate <=> L-Glutamate 5-semialdehyde + L-Glutamate
R00669	R00669	N2-Acetyl-L-ornithine amidohydrolase; N-Acetylornithine + H2O <=> Acetate + L-Ornithine
R00670	R00670	L-ornithine carboxy-lyase (putrescine-forming); L-Ornithine <=> Putrescine + CO2
R00671	R00671	L-ornithine ammonia-lyase (cyclizing; L-proline-forming); L-Ornithine <=> L-Proline + Ammonia
R00672	R00672	ornithine racemase; L-Ornithine <=> D-Ornithine
R00673	R00673	L-tryptophan indole-lyase (deaminating; pyruvate-forming); L-Tryptophan + H2O <=> Indole + Pyruvate + Ammonia
R00674	R00674	L-serine hydro-lyase (adding indole; L-tryptophan-forming); L-Serine + Indole <=> L-Tryptophan + H2O
R00677	R00677	L-Tryptophan:oxygen oxidoreductase (deaminating); L-Tryptophan + H2O + Oxygen <=> Indolepyruvate + Ammonia + Hydrogen peroxide
R00678	R00678	L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing); L-Tryptophan + Oxygen <=> L-Formylkynurenine
R00679	R00679	L-tryptophan:oxygen 2-oxidoreductase (decarboxylating); L-Tryptophan + Oxygen <=> (Indol-3-yl)acetamide + CO2 + H2O
R00684	R00684	L-Tryptophan:2-oxoglutarate aminotransferase; L-Tryptophan + 2-Oxoglutarate <=> Indolepyruvate + L-Glutamate
R00685	R00685	L-tryptophan decarboxy-lyase; L-Tryptophan <=> Tryptamine + CO2
R00688	R00688	L-phenylalanine:NAD+ oxidoreductase (deaminating); L-Phenylalanine + H2O + NAD+ <=> Phenylpyruvate + Ammonia + NADH + H+
R00689	R00689	L-Phenylalanine:oxygen oxidoreductase (deaminating); L-Phenylalanine + H2O + Oxygen <=> Phenylpyruvate + Ammonia + Hydrogen peroxide
R00690	R00690	L-phenylalanine:oxygen 2-oxidoreductase (decarboxylating); L-Phenylalanine + Oxygen <=> 2-Phenylacetamide + CO2 + H2O
R00691	R00691	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming); L-Arogenate <=> L-Phenylalanine + H2O + CO2
R00692	R00692	L-phenylalanine:pyruvate aminotransferase; L-Phenylalanine + Pyruvate <=> Phenylpyruvate + L-Alanine
R00694	R00694	L-Phenylalanine:2-oxoglutarate aminotransferase; L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate
R00697	R00697	L-phenylalanine ammonia-lyase (trans-cinnamate-forming); L-Phenylalanine <=> trans-Cinnamate + Ammonia
R00698	R00698	L-phenylalanine:oxygen oxidoreductase (decarboxylating); L-Phenylalanine + Oxygen <=> 2-Phenylacetamide + CO2
R00699	R00699	L-phenylalanine carboxy-lyase (phenylethylamine-forming); L-Phenylalanine <=> Phenethylamine + CO2
R00700	R00700	hydrogen:NAD+ oxidoreductase; Hydrogen + NAD+ <=> NADH + H+
R00702	R00702	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase; 2 trans,trans-Farnesyl diphosphate <=> Diphosphate + Presqualene diphosphate
R00703	R00703	(S)-Lactate:NAD+ oxidoreductase; (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+
R00704	R00704	(R)-Lactate:NAD+ oxidoreductase; (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+
R00705	R00705	3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating); 3-Oxopropanoate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
R00706	R00706	3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating); 3-Oxopropanoate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+
R00707	R00707	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase; (S)-1-Pyrroline-5-carboxylate + NAD+ + 2 H2O <=> L-Glutamate + NADH + H+
R00708	R00708	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase; (S)-1-Pyrroline-5-carboxylate + NADP+ + 2 H2O <=> L-Glutamate + NADPH + H+
R00709	R00709	isocitrate:NAD+ oxidoreductase (decarboxylating); Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+
R00710	R00710	Acetaldehyde:NAD+ oxidoreductase; Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+
R00711	R00711	Acetaldehyde:NADP+ oxidoreductase; Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+
R00713	R00713	succinate-semialdehyde:NAD+ oxidoreductase; Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+
R00714	R00714	succinate-semialdehyde:NADP+ oxidoreductase; Succinate semialdehyde + NADP+ + H2O <=> Succinate + NADPH + H+
R00715	R00715	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming); N6-(L-1,3-Dicarboxypropyl)-L-lysine + NAD+ + H2O <=> L-Lysine + 2-Oxoglutarate + NADH + H+
R00716	R00716	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming); N6-(L-1,3-Dicarboxypropyl)-L-lysine + NADP+ + H2O <=> L-Lysine + 2-Oxoglutarate + NADPH + H+
R00717	R00717	Glycolate:NAD+ oxidoreductase; Glycolate + NAD+ <=> Glyoxylate + NADH + H+
R00719	R00719	ITP phosphohydrolase; ITP + H2O <=> IDP + Orthophosphate
R00720	R00720	Inosine 5'-triphosphate pyrophosphohydrolase; ITP + H2O <=> IMP + Diphosphate
R00722	R00722	ATP:IDP phosphotransferase; ATP + IDP <=> ADP + ITP
R00726	R00726	ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming); ITP:oxaloacetate carboxy-lyase (transphosphorylating); ITP + Oxaloacetate <=> IDP + Phosphoenolpyruvate + CO2
R00727	R00727	Succinate:CoA ligase (IDP-forming); ITP + Succinate + CoA <=> IDP + Orthophosphate + Succinyl-CoA
R00728	R00728	L-tyrosine phenol-lyase (deaminating; pyruvate-forming); L-Tyrosine + H2O <=> Phenol + Pyruvate + Ammonia
R00729	R00729	L-Tyrosine:oxygen oxidoreductase (deaminating); L-Tyrosine + H2O + Oxygen <=> 3-(4-Hydroxyphenyl)pyruvate + Ammonia + Hydrogen peroxide
R00730	R00730	L-tyrosine,[reduced NADPH-hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); L-Tyrosine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N-Hydroxy-L-tyrosine + [Oxidized NADPH---hemoprotein reductase] + H2O
R00731	R00731	L-Tyrosine:oxygen oxidoreductase; L-Tyrosine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + H2O
R00732	R00732	L-arogenate:NAD+ oxidoreductase; L-Arogenate + NAD+ <=> L-Tyrosine + CO2 + NADH + H+
R00733	R00733	L-arogenate:NADP+ oxidoreductase; L-Arogenate + NADP+ <=> L-Tyrosine + CO2 + NADPH + H+
R00734	R00734	L-tyrosine:2-oxoglutarate aminotransferase; L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate
R00736	R00736	L-tyrosine carboxy-lyase (tyramine-forming); L-Tyrosine <=> Tyramine + CO2
R00737	R00737	L-tyrosine ammonia-lyase (trans-p-hydroxycinnamate-forming); L-Tyrosine <=> 4-Coumarate + Ammonia
R00740	R00740	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating); 3-Oxopropanoate + CoA + NADP+ <=> Malonyl-CoA + NADPH + H+
R00742	R00742	acetyl-CoA:carbon-dioxide ligase (ADP-forming); ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA
R00746	R00746	Ethanol:NADP+ oxidoreductase; Ethanol + NADP+ <=> Acetaldehyde + NADPH + H+
R00747	R00747	2-Phosphonoacetaldehyde phosphonohydrolase; Phosphonoacetaldehyde + H2O <=> Acetaldehyde + Orthophosphate
R00748	R00748	ethanolamine-phosphate phosphate-lyase (deaminating; acetaldehyde-forming); Ethanolamine phosphate + H2O <=> Acetaldehyde + Ammonia + Orthophosphate
R00749	R00749	ethanolamine ammonia-lyase (acetaldehyde-forming); Ethanolamine <=> Acetaldehyde + Ammonia
R00750	R00750	4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming); Acetaldehyde + Pyruvate <=> 4-Hydroxy-2-oxopentanoate
R00751	R00751	L-threonine acetaldehyde-lyase (glycine-forming); L-Threonine <=> Glycine + Acetaldehyde
